	FW101    Fieldworker code	FW000    Country code and phase	FW102    Fieldworker state of residence	FW103    Fieldworker type of place of residence	FW104    Fieldworker age	FW105    Fieldworker sex	FW106    Fieldworker marital status	FW107    Fieldworker number of living children	FW108    Fieldworker ever had a child who died	FW109    Highest level of school attended by fieldworker	FW110    Highest gradeformyear at that level completed by fieldworker	FW111    Fieldworker religion	FW112    Fieldworker ethnicity	FW113A   English	FW113B   Hausa	FW113C   Yoruba	FW113D   Igbo	FW113E   Urhobo	FW113F   Ibibio	FW113G   Edo	FW113H   Fulfulde	FW113I   Kanuri	FW113X   Other language	FW113Y   No other language	FW114    Fieldworker's mother tonguenative language	FW115A   Has fieldworker ever worked on a DHS prior to this survey	FW115B   Has fieldworker ever worked on an MIS prior to this survey	FW115C   Has fieldworker ever worked on any other survey prior to this survey	FW116    Was fieldworker working for implementing agency at the time employed for DHS	FW117    Is fieldworker a permanent or temporary employee of agency	FW118    Does fieldworker has any comments	FW102A   Fieldworker region of residence	FW114A   Fieldworker's mother tonguenative language
0	3201.0	NG8	FCT	CIty	37.0	Female	Currently married	4.0	No	Higher	4.0	Other christian	Afo	English	Hausa	Yoruba									Yoruba	No	No	Yes	Yes, NPC	Temporary	No	FCT	Yoruba
1	3202.0	NG8	EKITI	CIty	30.0	Female	Currently married	0.0	No	Higher	4.0	Other christian	Afo	English		Yoruba									Yoruba	No	No	Yes	No		No	EKITI	Yoruba
2	3203.0	NG8	ABIA	Town	40.0	Female	Currently married	3.0	No	Higher	5.0	Other christian	Afo	English		Yoruba									Yoruba	No	No	No	No		No	ABIA	Yoruba
3	3208.0	NG8	EKITI	Town	37.0	Male	Currently married	2.0	No	Higher	5.0	Other christian	Afo	English		Yoruba									Yoruba	No	No	No	No		No	EKITI	Yoruba
4	3200.0	NG8	ONDO	CIty	43.0	Male	Currently married	2.0	No	Higher	4.0	Other christian	Yoruba	English		Yoruba									Yoruba	No	No	Yes	Yes, NPC	Temporary	No	ONDO	Yoruba
5	508.0	NG8	NASARAWA	CIty	45.0	Male	Currently married	4.0	No	Higher	4.0	Other christian	Mada	English	Hausa										Hausa	No	Yes	No	No		No	NASARAWA	Hausa
6	502.0	NG8	NASARAWA	CIty	26.0	Female	Never married or lived with a man/woman	0.0	No	Higher	4.0	Other christian	Kantanawa	English	Hausa										Other	No	No	No	Yes, NPC	Temporary	No	NASARAWA	Other
7	500.0	NG8	NASARAWA	CIty	29.0	Male	Never married or lived with a man/woman	0.0	No	Higher	4.0	Other christian	Mada	English	Hausa										Other	No	No	Yes	Yes, NPC	Temporary	No	NASARAWA	Other
8	503.0	NG8	NASARAWA	CIty	35.0	Female	Currently married	4.0	No	Higher	4.0	Islam	Hausa	English	Hausa										Hausa	No	No	Yes	No		No	NASARAWA	Hausa
9	501.0	NG8	EDO	CIty	20.0	Female	Never married or lived with a man/woman	0.0	No	Higher	4.0	Islam	Ebira/Igbira	English	Hausa										Other	No	No	Yes	No		No	EDO	Other
10	2700.0	NG8	BAYELSA	CIty	28.0	Female	Never married or lived with a man/woman	0.0	No	Higher	4.0	Other christian	Ijaw/Izon	English									Other language		Other	No	No	Yes	Yes, NPC	Permanent	No	BAYELSA	Other
11	2703.0	NG8	BAYELSA	Town	42.0	Male	Currently married	2.0	No	Higher	4.0	Other christian	Ijaw/Izon	English									Other language		Other	Yes	No	Yes	No		No	BAYELSA	Other
12	2702.0	NG8	FCT	Town	38.0	Male	Never married or lived with a man/woman	0.0	No	Higher	5.0	Other christian	Urhobo	English		Yoruba		Urhobo							Urhobo	No	No	No	No		No	FCT	Urhobo
13	2708.0	NG8	BAYELSA	CIty	42.0	Female	Currently married	2.0	No	Higher	Less than one year at level	Other christian	Ijaw/Izon	English									Other language		Other	No	No	No	No		No	BAYELSA	Other
14	2701.0	NG8	BAYELSA	CIty	27.0	Female	Never married or lived with a man/woman	0.0	No	Higher	4.0	Other christian	Ijaw/Izon	English									Other language		Other	Yes	No	Yes	No		No	BAYELSA	Other
15	1001.0	NG8	BORNO	Town	40.0	Female	Widowed	3.0	No	Higher	5.0	Islam	Kanuri/Beriberi	English	Hausa							Kanuri			Hausa	No	No	Yes	No		No	BORNO	Hausa
